Names,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total tests,Population
Honduras,"474,590",,"11,165                                ",,N/A,N/A,N/A,N/A,"1,660,662","10,221,247 "
Armenia,"451,426",,"8,776                                ",,"435,162",,"7,488",,"3,242,901","2,971,966 "
Bosnia and Herzegovina,"403,585",,"16,385                                ",,"379,084",,"8,116",,"1,884,721","3,249,317 "
Oman,"399,449",,"4,628                                ",,N/A,N/A,N/A,,"25,000,000","5,323,993 "
Luxembourg,"391,117",,"1,232                                ",,N/A,N/A,N/A,,"4,587,145","642,371 "
North Macedonia,"350,520",,"9,971                                ",,"337,068",,"3,481",,"2,226,216","2,081,304 "
Zambia,"349,304",,"4,069                                ",,"341,316",,"3,919",,"4,112,961","19,470,234 "
Kenya,"344,130",,"5,689                                ",,"337,309",,"1,132",N/A,"3,967,062","56,215,221 "
Brunei ,"343,075",,225                                ,,"243,601",,"99,249",3,"717,784","445,431 "
Albania,"334,863",,"3,605                                ",,"330,233",,"1,025",,"1,941,032","2,866,374 "
Botswana,"330,442",,"2,801                                ",,"327,049",,592,1,"2,026,898","2,441,162 "
Montenegro,"296,492",,"2,846                                ",,"291,794",,"1,852",N/A,"2,769,281","627,950 "
Algeria,"272,010",,"6,881                                ",,"183,061",,"82,068",,"230,960","45,350,148 "
Nigeria,"267,188",,"3,155                                ",,"259,953",,"4,080",11,"5,708,974","216,746,934 "
Zimbabwe,"266,328",,"5,737                                ",,"258,888",,"1,703",12,"2,525,756","15,331,428 "
Uzbekistan,"253,662",,"1,637                                ",,"241,486",,"10,539",23,"1,377,915","34,382,084 "
Mozambique,"233,731",,"2,250                                ",,"228,805",,"2,676",11,"1,371,127","33,089,461 "
Afghanistan,"231,975",,"7,985                                ",,"210,069",,"13,921",,"1,363,981","40,754,388 "
Martinique,"230,354",,"1,102                                ",,N/A,N/A,N/A,N/A,"828,928","374,087 "
Laos,"218,950",,758                                ,,N/A,N/A,N/A,,"1,233,207","7,481,023 "
Iceland,"209,889",,229                                ,,N/A,N/A,N/A,,"1,996,384","345,393 "
Kyrgyzstan,"206,897",,"2,991                                ",,"196,406",,"7,500",131,"1,907,195","6,728,271 "
Guadeloupe,"203,235",,"1,021                                ",,N/A,N/A,N/A,N/A,"938,039","399,794 "
El Salvador,"201,855",,"4,230                                ",,"179,410",,"18,215",,"2,610,114","6,550,389 "
Trinidad and Tobago,"191,496",,"4,390                                ",,"187,078",,28,N/A,"913,289","1,406,585 "
Maldives,"186,694",,316                                ,,"163,687",,"22,691",25,"2,213,831","540,985 "
Namibia,"172,280",,"4,103                                ",,"167,099",,"1,078",,"1,062,663","2,633,874 "
Uganda,"171,983",,"3,632                                ",,"100,431",,"67,920",,"3,012,408","48,432,863 "
Ghana,"171,889",,"1,462                                ",,"170,425",,2,,"2,541,625","32,395,450 "
Jamaica,"156,857",,"3,748                                ",,N/A,N/A,N/A,,"1,183,986","2,985,094 "
